incident_id,incident_name,start_year,date_start,date_cont,county_unit,structures_dest_or_dam,structures_dest,structures_dam,fatalities_fire,fatalities_civilian,acres_burned,origin_dpa,veg_type,cause,df_source
MMU-7830,RIVER,2012,41047,NA,MARIPOSA,NA,NA,NA,NA,NA,320,CALFIRE,G,UNDETERMINED,csv
MVU-005400,BANNER 4,2012,41053,NA,SAN DIEGO,NA,NA,NA,NA,NA,5320,CAL FIRE,G,UNDETERMINED,csv
MMU-008599,BILLY,2012,41060,NA,MERCED,NA,NA,NA,NA,NA,434,CAL FIRE,G,ELECTRICAL,csv
LAC-134232,5 MILE,2012,41068,NA,LOS ANGELES,NA,NA,NA,NA,NA,525,CAL FIRE,GB,EQUIPMENT,csv
MMU-009308,GAINES,2012,41072,NA,MARIPOSA,NA,NA,NA,NA,NA,1700,CAL FIRE,G,ELECTRICAL,csv
FKU-7091,LASSEN,2012,41072,NA,FRESNO,NA,NA,NA,NA,NA,418,CALFIRE,G,UNDETERMINED,csv
RRU-059216,HIGHLAND,2012,41076,NA,RIVERSIDE,NA,NA,NA,NA,NA,2171,CAL FIRE,BG,UNDETERMINED,csv
RRU-059775,VIEW,2012,41077,NA,RIVERSIDE,NA,NA,NA,NA,NA,375,CAL FIRE,B,ELECTRICAL,csv
MVU-6329,OLD 2,2012,41077,NA,SAN DIEGO,NA,2,NA,NA,NA,995,CAL FIRE,B,UNDETERMINED,csv
SHU-005135,DALE,2012,41095,NA,SHASTA,NA,2,5,NA,NA,1083,CALFIRE,GB,UNDETERMINED,csv
BDU-7678,FISH,2012,41097,NA,INYO,NA,NA,NA,NA,NA,1103,CAL FIRE,B,UNDETERMINED,csv
LNU-5038,SITES,2012,41098,NA,COLUSA,NA,NA,NA,NA,NA,365,CAL FIRE,G,UNDETERMINED,csv
LNU-5039,GRAPEVINE,2012,41098,NA,COLUSA,NA,NA,NA,NA,NA,1870,CAL FIRE,B,UNDETERMINED,csv
LNU-5056,RAIL,2012,41099,NA,COLUSA,NA,NA,NA,NA,NA,1870,CAL FIRE,B,UNDETERMINED,csv
BEU-3109,TURKEY,2012,41099,NA,MONTEREY,NA,NA,NA,NA,NA,2529,CAL FIRE,TG,EQUIPMENT,csv
TCU-6227,SEVEN,2012,41100,NA,TUOLUMNE,NA,1,NA,NA,NA,840,CAL FIRE,B,UNDETERMINED,csv
NEU-15060,ROBBERS,2012,41101,NA,PLACER,NA,8,NA,NA,NA,2650,CALFIRE,BT,ARSON,csv
