incident_id,county_unit,incident_name,start_year,date_start,date_cont,origin_dpa,acres_burned,veg_type,cause,structures_est,structures_dam,fatalities_fire,fatalities_civilian
KRN-3139,KERN,WOLF,2021,44215,44216,CC,865, G ,UNDETERMINED,,,,
SKU-2246,SISKIYOU,REFUGE,2021,44282,44283,CAL FIRE,873, G ,DEBRIS BURNING,,,,
MVU-7992,SAN DIEGO,SOUTHERN,2021,44317,44323,CAL FIRE,"5,366"," B, G ",UNDETERMINED,3,,,
BTU-5834,BUTTE,GUNNISON,2021,44324,44324,CAL FIRE,550, G ,EQUIPMENT USE,2,1,,
RRU-65819,RIVERSIDE,DAVIS,2021,44334,44334,CAL FIRE,300," B, G ",ARSON,,,,
TCU-6637,STANISLAUS,MILE,2021,44343,44344,CAL FIRE,508, G ,ARSON,,,,
BEU-3247,MONTEREY,SARGENTS,2021,44346,44349,CAL FIRE,"1,118"," B, G ",ELECTRICAL POWER,,,,
NEU-14434,YUBA,INTANKO,2021,44355,44363,CAL FIRE,939," B, G ",MISCELLANEOUS,2,,,
BTU-7844,BUTTE,PARK,2021,44364,44366,CAL FIRE,402, G ,UNDETERMINED,,,,
BDU-8199,INYO,ALABAMA,2021,44365,44370,CAL FIRE,560," B, G ",LIGHTNING,,,,
TUU-349,TULARE,SUCCESS 2,2021,44000,44368,CAL FIRE,800," B, G ",LIGHTNING,,,,
MVU-11189,SAN DIEGO,OVERLAND,2021,44366,44370,CAL FIRE,515," B, G ",ARSON,,,,
SHU-6200,SHASTA,COW,2021,44367,44373,CAL FIRE,761," B, G ",VEHICLE,2,,,
MVU-11497,SAN DIEGO,MESA,2021,44370,44377,CAL FIRE,350," B, G ",UNDETERMINED,,,,
KRN-29463,KERN,SHELL,2021,44374,44378,CC,"1,984"," B, G, T ",VEHICLE,,,,
TUU-426,TULARE,MAIN,2021,44380,44381,CAL FIRE,384, G ,UNDER INVESTIGATION,,,,
MMU-14714,MARIPOSA,RIVER,2021,44388,44398,CAL FIRE,"9,656"," B, G ",ELECTRICAL POWER,12,2,,
BTU-9205,"PLUMAS, BUTTE, LASSEN, SHASTA, TEHAMA",DIXIE,2021,44390,44495,CAL FIRE,"963,309"," B, T ",ELECTRICAL POWER,"1,311",94,,
NEU-20628,PLACER,RIVER,2021,44412,44461,CAL FIRE,"2,619"," B, T ",UNDETERMINED,142,21,,
TCU-11033,CALAVERAS,AIROLA,2021,44433,44441,CAL FIRE,639," B, G ",UNDER INVESTIGATION,,,,
BDU-12298,SAN BERNARDINO,SOUTH,2021,44433,44440,CAL FIRE,680," B, G, T ",EQUIPMENT USE,9,28,,
NEU-23725,PLACER,BRIDGE,2021,44444,44455,CAL FIRE,411," B, T ",ARSON,,,,
SHU-10480,SHASTA,FAWN,2021,44461,44471,CAL FIRE,"8,578"," B, T ",ARSON,185,26,,
FKU-16412,KINGS,KETTLE,2021,44480,44481,CAL FIRE,447, G ,UNDETERMINED,,,,
RRU-7737,RIVERSIDE,BONITA,2021,44211,44226,USFS,681," B, G ",UNDETERMINED,,,,
STF-134,TUOLUMNE,ABERNATHY,2021,44215,44219,USFS,374," B, G  ",UNDETERMINED,,,,
LAC-128550,LOS ANGELES,NORTH,2021,44314,44318,LOCAL,650," B, G ",ARSON,,,,
CDD-7393,KERN,OWENS,2021,44317,44322,BLM,"1,512"," B, G ",UNDETERMINED,,,,
LAC-144343,LOS ANGELES,PINE,2021,44328,44331,LOCAL,442," B, G ",UNDETERMINED,5,1,,
LFD-1448,LOS ANGELES,PALISADES,2021,44330,44342,LOCAL,"1,202", B ,ARSON,,,,
LAC-1152631,LOS ANGELES,WEEVILL,2021,44336,44338,LOCAL,300," B, G ",UNDETERMINED,,,,
MCP,SAN DIEGO,SIERRA,2021,44356,44358,MIL,"1,000"," B, G ",UNDETERMINED,,,,
BDF-9477,RIVERSIDE,FLATS,2021,44360,44367,USFS,341," B, G ",UNDETERMINED,3,1,,
TIA-1624,TULARE,NETTLE,2021,44365,44378,BIA,"1,265"," B , G ",UNDETERMINED,,,,
MNP-9642,SAN BERNARDINO,MOJAVE,2021,44364,44372,NPS,"2,490"," B, G ",LIGHTNING,,,,
LPF-1493,MONTEREY,WILLOW,2021,44364,44388,USFS,"2,877"," B, G ",UNDETERMINED,,,,
INF-1299,INYO,INYO CREEK,2021,44366,44383,USFS,592," B, T ",LIGHTNING,,,,
STF-1280,ALPINE,HENRY,2021,44372,44435,USFS,"1,320"," B, T ",LIGHTNING,,,,
KNF-5169,SISKIYOU,TENNANT,2021,44375,44408,USFS,"10,580"," B , T ",UNDETERMINED,9,1,,
SHF-982,SHASTA,SALT,2021,44377,44396,USFS,"12,660"," B, G ",VEHICLE,43,4,,
SHF-949,SISKIYOU,LAVA,2021,44371,44440,USFS,"26,409"," B, T ",LIGHTNING,23,2,,
YNP-52,TUOLUMNE,LUKENS,2021,44378,44423,NPS,867, T ,LIGHTNING,,,,
PNF-1064,PLUMAS,BECKWOURTH COMPLEX,2021,44380,44470,USFS,"105,670"," B, T ",LIGHTNING,148,23,,
LAC-205212,LOS ANGELES,TUMBLEWEED,2021,44381,44386,LOCAL,868," B, G ",UNDETERMINED,,,,
HTF-30419,ALPINE,TAMARACK,2021,44381,44484,USFS,"68,637"," B, T ",LIGHTNING,15,2,,
MDF-781,MODOC,JUNIPER,2021,44382,44387,USFS,"1,011"," G, T ",UNDETERMINED,,,,
SHF-1067,SISKIYOU,BRADLEY,2021,44388,44394,USFS,357, T ,UNDETERMINED,,,,
INF-1695,MONO,DEXTER,2021,44389,44405,USFS,"2,965"," B, T ",LIGHTNING,,,,
CND-2374,KERN,PEAK,2021,44397,44411,BLM,"2,098"," B, T ",UNDETERMINED,1,1,,
SHF-1175,SHASTA,MCFARLAND,2021,44406,44448,USFS,"122,653"," B, T ",LIGHTNING,46,1,,
SHF-1187,TRINITY,MONUMENT,2021,44407,44501,USFS,"223,124"," B, T ",LIGHTNING,28,2,,
LAC-1237904,LOS ANGELES,HUNGRY,2021,44408,44410,LOCAL,364," B, G ",EQUIPMENT USE,,,,
YNP-95,TUOLUMNE,TILTILL,2021,44408,44491,NPS,"2,350"," B, T ",LIGHTNING,,,,
SRF-651,SISKIYOU,MCCASH,2021,44408,44500,USFS,"94,962"," B, G, T ",LIGHTNING,,,,
KNF-6454,SISKIYOU,ANTELOPE,2021,44409,44482,USFS,"145,632"," B, T ",LIGHTNING,20,4,,
KNF-6385,SISKIYOU,RIVER COMPLEX,2021,44407,44501,USFS,"199,359"," B, T ",LIGHTNING,122,2,,
ENF-24030,EL DORADO,CALDOR,2021,44422,44490,USFS,"221,835"," B, T ",UNDER INVESTIGATION,"1,005",81,,
SQF-2758,TULARE,WALKERS,2021,44423,44471,USFS,"8,777"," B, T ",LIGHTNING,,,,
CND-2796,KERN,FRENCH,2021,44426,44489,BLM,"26,535"," G, T ",UNDETERMINED,49,6,,
CNF-2791,RIVERSIDE,CHAPARRAL,2021,44436,44447,USFS,"1,427"," B, G ",UNDETERMINED,3,2,,
SRF-795,HUMBOLDT,KNOB,2021,44437,44451,USFS,"2,421", T ,UNDETERMINED,,,,
MNP-12915,SAN BERNARDINO,POND,2021,44438,44443,NPS,491," B, G ",LIGHTNING,,,,
TIA-3058,TULARE,WINDY,2021,44448,44511,BIA,"97,528"," B, T ",LIGHTNING,21,,,
ANF-3438,LOS ANGELES,ROUTE,2021,44450,44456,USFS,464, B ,UNDETERMINED,,,,
KNP-122,TULARE,KNP COMPLEX,2021,44450,44547,NPS,"88,307"," B, G, T ",LIGHTNING,4,1,,
LPF-2759,SANTA BARBARA,ALISAL,2021,44480,44521,USFS,"16,970"," B, G ",UNDETERMINED,12,1,,
